synset_id	sense_id	sense_term
108863-A	108863-A-135833	гайморитный
9014-A	9014-A-136122	гнойниковый
9014-A	9014-A-143184	нарывный
7506-A	7506-A-158088	энцефалитный
111184-A	111184-A-133031	аппендицитный
133318-A	133318-A-187500	одышечный
8804-A	8804-A-150281	простудный
9869-A	9869-A-168451	грыжевый
9869-A	9869-A-168452	грыжевой
113976-A	113976-A-152406	светолечебный
136540-A	136540-A-698050	химиотерапевтический
109688-A	109688-A-135920	геморроидальный
109688-A	109688-A-135922	геморройный
144269-A	144269-A-137580	желтушный
9023-A	9023-A-141868	малярийный
9805-A	9805-A-708631	инфузионный
8510-A	8510-A-136213	гонорейный
6004-A	6004-A-109154	полиомиелитный
2635-A	2635-A-202657	наркозависимый
4359-A	4359-A-136956	дифтерический
4359-A	4359-A-136953	дифтерийный
4359-A	4359-A-136955	дифтеритный
125067-A	125067-A-169648	аритмический
110150-A	110150-A-142208	мигреневый
4727-A	4727-A-113214	туберкулезный
9483-A	9483-A-159969	бесплодный
4046-A	4046-A-121900	лечебно-профилактический
4046-A	4046-A-121761	медико-профилактический
4046-A	4046-A-120772	лечебно-оздоровительный
141543-A	141543-A-205804	слабоумный
136064-A	136064-A-214923	рвотный
137435-A	137435-A-104192	иммунодефицитный
137435-A	137435-A-118489	иммунопатологический
142973-A	142973-A-164026	дренажный
142973-A	142973-A-670596	дренажный процеура
120996-A	120996-A-163267	тромботический
124454-A	124454-A-135706	высыпной
116900-A	116900-A-735221	бессонный
8776-A	8776-A-145398	отитный
4521-A	4521-A-149050	прививочный
110393-A	110393-A-150492	психопатический
124412-A	124412-A-168463	метастатический
4030-A	4030-A-135940	гепатитный
128086-A	128086-A-148049	полипный
5390-A	5390-A-715256	послеоперационный
5390-A	5390-A-144785	операционный
5390-A	5390-A-144783	оперативный
5390-A	5390-A-113989	хирургический
7918-A	7918-A-150494	психотерапевтический
117985-A	117985-A-141885	маниакальный
9491-A	9491-A-157667	шизофренический
109333-A	109333-A-155714	угревой
110165-A	110165-A-154737	таблеточный
124017-A	124017-A-136062	глистный
151334-A	151334-A-744020	сахароснижающий
151334-A	151334-A-139301	инсулиновый
112579-A	112579-A-139331	инфарктный
133077-A	133077-A-186710	обморочный
110168-A	110168-A-133981	брюшнотифозный
110356-A	110356-A-143430	невралгический
6481-A	6481-A-729516	врожденный
112452-A	112452-A-132749	авитаминозный
4688-A	4688-A-154260	стерилизационный
109936-A	109936-A-140602	конъюнктивитный
130761-A	130761-A-188699	умственный отсталый
2283-A	2283-A-163027	хронический
5137-A	5137-A-169375	абортивный
9224-A	9224-A-684363	респираторно-вирусный
9231-A	9231-A-184184	косоглазый
9231-A	9231-A-159164	косой
6161-A	6161-A-101000	биопсийный
6161-A	6161-A-133643	биопсический
115124-A	115124-A-155377	тромбозный
4684-A	4684-A-105148	коревой
6041-A	6041-A-205714	менингитный
112643-A	112643-A-135897	гастрический
112643-A	112643-A-135896	гастритный
144833-A	144833-A-686859	вегетососудистый
110237-A	110237-A-133771	болезненный
110237-A	110237-A-133769	болевой
111256-A	111256-A-121273	невротический
110398-A	110398-A-721637	истеричный
110398-A	110398-A-721632	истерический
114990-A	114990-A-154260	стерилизационный
3214-A	3214-A-112141	столбнячный
8482-A	8482-A-121721	сифилитический
5567-A	5567-A-116093	паралитический
5567-A	5567-A-146132	параличный
9239-A	9239-A-152429	свинушный
109296-A	109296-A-117218	катаральный
108134-A	108134-A-721407	шоковый
616-A	616-A-741991	недужный
7000-A	7000-A-670048	сверхурочный
8159-A	8159-A-102510	гомеопатический
109068-A	109068-A-100391	аллергический
113568-A	113568-A-124500	чумной
8705-A	8705-A-139870	катарактный
9402-A	9402-A-121752	астматический
4779-A	4779-A-104077	зубопротезный
3949-A	3949-A-711583	психопатологический
3949-A	3949-A-110253	психоневрологический
110825-A	110825-A-145373	отечный
9050-A	9050-A-164109	кофеиновый
125387-A	125387-A-170221	бородавочный
125387-A	125387-A-195356	бородавчатый
6259-A	6259-A-133482	белокровный
6259-A	6259-A-141375	лейкозный
148386-A	148386-A-720124	налитый свинец
6087-A	6087-A-713146	радиотерапевтический
5177-A	5177-A-110636	реанимационный
109331-A	109331-A-158001	экзематозный
8509-A	8509-A-139528	ишемический
141530-A	141530-A-213951	парацетамоловый
113571-A	113571-A-215407	водолечебный
8161-A	8161-A-102782	гриппозный
113028-A	113028-A-143499	нейрохирургический
4392-A	4392-A-144910	опухолевый
3373-A	3373-A-132879	алкоголический
1056-A	1056-A-202841	вич-инфицированный
3700-A	3700-A-103135	дизентерийный
5330-A	5330-A-113695	физиотерапевтический
137570-A	137570-A-201734	плоскостопый
7513-A	7513-A-116265	иммунологический
127631-A	127631-A-175420	тошнотный
9808-A	9808-A-700229	лапароскопический
9808-A	9808-A-158080	эндоскопический
9767-A	9767-A-151741	рентгенографический
9767-A	9767-A-704548	радиографический
9598-A	9598-A-133935	бронхитный
8706-A	8706-A-136056	глаукомный
108841-A	108841-A-124941	чесоточный
8216-A	8216-A-123682	наркозный
142000-A	142000-A-111299	бальнеологический
142000-A	142000-A-125066	бальнеотерапевтический
109961-A	109961-A-152992	сколиозный
129698-A	129698-A-134164	ванный
123979-A	123979-A-169079	гипотонический
9677-A	9677-A-724957	фармакотерапевтический
9400-A	9400-A-169918	близорукий
112450-A	112450-A-132733	абсцессный
109552-A	109552-A-157150	цинготный
109990-A	109990-A-154246	стенокардический
9406-A	9406-A-140322	колитный
144031-A	144031-A-707816	аутичный
144031-A	144031-A-714684	аутистический
9484-A	9484-A-139302	инсультный
112698-A	112698-A-205607	шелудивый
112698-A	112698-A-205606	паршивый
4035-A	4035-A-139699	канцерный
4035-A	4035-A-151128	раковый
5802-A	5802-A-690924	имбецильный
5802-A	5802-A-690925	олигофренический
3464-A	3464-A-145142	оспенный
7393-A	7393-A-200194	атеросклеротический
129454-A	129454-A-160290	свищевой
129454-A	129454-A-178820	фистульный
9444-A	9444-A-139339	инъекционный
8094-A	8094-A-124018	анемический
8187-A	8187-A-123890	акупунктурный
8187-A	8187-A-138925	иглотерапевтический
9407-A	9407-A-135990	гипертонический
136318-A	136318-A-196877	диализный
142357-A	142357-A-181599	депрессивный
110468-A	110468-A-202103	параноидальный
110468-A	110468-A-146137	параноический
146293-A	146293-A-104373	инфекционный
108862-A	108862-A-134921	воспалительный
6044-A	6044-A-151620	ревматический
6044-A	6044-A-151621	ревматоидный
114693-A	114693-A-154530	судорожный
114693-A	114693-A-153863	спазматический
114693-A	114693-A-140502	конвульсивный
7514-A	7514-A-139212	иммунизационный
111236-A	111236-A-687934	психбольной
111236-A	111236-A-700553	психбольная
111236-A	111236-A-689199	страдающий психический заболевание
111236-A	111236-A-689200	страдающий психический расстройство
111236-A	111236-A-689201	страдающий расстройство психика
110638-A	110638-A-181312	горячечный
110638-A	110638-A-141563	лихорадочный
9856-A	9856-A-139797	кардиограммный
109728-A	109728-A-152643	септический
9278-A	9278-A-132942	ампутационный
9238-A	9238-A-151564	рахитный
7528-A	7528-A-195714	сальмонеллезный
7782-A	7782-A-189553	пробирочный
3729-A	3729-A-135866	гангренозный
9387-A	9387-A-143234	насморочный
129712-A	129712-A-677046	варикозный
135455-A	135455-A-197070	удушающий
135455-A	135455-A-203322	удушливый
9414-A	9414-A-121961	кистозный
111428-A	111428-A-210160	перевязочный
4740-A	4740-A-115887	диабетический
1054-A	1054-A-104373	инфекционный
114938-A	114938-A-153642	сомнамбулический
123981-A	123981-A-158218	язвенный
142786-A	142786-A-683870	посттравматический
10134-A	10134-A-167426	припадочный
137126-A	137126-A-714221	катетеризировать
137126-A	137126-A-714220	катетеризовать
9473-A	9473-A-164911	анестетический
3073-A	3073-A-114069	холерный
110367-A	110367-A-148245	поносный
136755-A	136755-A-197836	эмболический
112828-A	112828-A-150678	радикулитный
5423-A	5423-A-139809	кариозный
9478-A	9478-A-142265	миомный
9725-A	9725-A-165795	процедурный
144274-A	144274-A-161614	доброкачественный
114870-V	114870-V-150284	простукивать
114870-V	114870-V-135683	выстукать
114870-V	114870-V-135685	выстукивать
114870-V	114870-V-150282	простукать
124613-V	124613-V-168846	омертветь
124613-V	124613-V-187792	отмереть
124613-V	124613-V-187793	отмирать
124613-V	124613-V-168845	мертветь
4688-V	4688-V-154262	стерилизовать
110638-V	110638-V-181301	лихорадить
120814-V	120814-V-162841	лечиться
120814-V	120814-V-753409	лечиться без врач
114990-V	114990-V-154262	стерилизовать
9231-V	9231-V-140761	косить
9231-V	9231-V-748681	глаз косить
9231-V	9231-V-748682	косить глаз
108862-V	108862-V-700466	воспалиться
108862-V	108862-V-700467	воспаляться
9278-V	9278-V-145553	отнять
9278-V	9278-V-145548	отнимать
9278-V	9278-V-118873	ампутировать
136064-V	136064-V-722159	вытошнить
136064-V	136064-V-135256	вывернуть
136064-V	136064-V-722160	выташнивать
136064-V	136064-V-135283	выворачивать
136064-V	136064-V-175421	стошнить
136064-V	136064-V-151573	рвать
136064-V	136064-V-135590	вырвать
114693-V	114693-V-722295	мышца свести
114693-V	114693-V-758770	сводить мышца
9473-V	9473-V-164912	анестезировать
5414-V	5414-V-201515	предупредить беременность
5414-V	5414-V-201514	предупреждать беременность
110237-V	110237-V-162804	побаливать
110237-V	110237-V-137718	заболеть
110237-V	110237-V-702346	поболеть
110237-V	110237-V-176889	разболеться
110237-V	110237-V-133778	болеть
110237-V	110237-V-137717	заболевать
137569-V	137569-V-751586	сердце прихватить
137569-V	137569-V-751587	прихватить сердце
116984-V	116984-V-136764	дергать
116984-V	116984-V-154404	стрельнуть
116984-V	116984-V-112225	стрелять
9635-V	9635-V-146575	перелить
9635-V	9635-V-198663	перелить кровь
9635-V	9635-V-146574	переливать
127631-V	127631-V-142610	мутить
